Title,Company,Location,Cleaned_Salary,Time (days ago),Cleaned_Experience (Years)
Full Stack Developer,Bryckel AI,Work from home,950000,7,1
AI/Prompt Engineer,DeepNexus.in,Work from home,675000,7,0
.NET Developer,Efox Technologies Private Limited,Bareilly,225000,7,0
Full Stack Developer,KubeFlux,Work from home,581000,7,1
Full Stack Developer,LeadPro,Chennai,410000,7,1
Full Stack Developer,LeadPro, Bangalore,410000,7,1
Embedded Systems Associate,Renify Technologies Private Limited,Anekal,600000,7,1
Associate Android App Developer,ASW Digital Marketing Services,Hyderabad,325000,7,1
Full Stack Developer,RethinkingWeb,Vadodara,300000,7,1
Full Stack - Python And REACT,Tandem Consulting Group,Chennai,500000,7,1
Linnux Admin,ServerGuy,Noida,300000,7,1
Android App Developer,PrimeWebDynamics,Agra,225000,7,0
Senior Full Stack Developer,Tanika Tech Jewels Private Limited,Mira Bhayandar,500000,7,1
Senior Full Stack Developer,Tanika Tech Jewels Private Limited, Mumbai,500000,7,1
Associate Software Tester,Regime Tax Solutions Private Limited,Navi Mumbai,575000,7,1
Associate Software Tester,Regime Tax Solutions Private Limited, Mumbai,575000,7,1
Node.js/MySQL Developer,FlexiEle Consulting Services Private Limited,Work from home,450000,7,0
Information Technology Engineer,Shubh Enterprises,Dehradun,250000,7,1
Artificial Intelligence (AI) Specialist,ZAi-Fi,Work from home,210000,7,1
PHP Developer,Pratithi Finance,Kolkata,200000,7,0
Senior PHP Developer,InstaWeb Labs Private Limited,Mumbai,700000,7,1
Node.js Developer,Infoware,Ahmedabad,450000,7,1
Node.js Developer,Infoware, Gandhinagar,450000,7,1
Flutter Developer,Infoware,Ahmedabad,450000,7,1
Flutter Developer,Infoware, Gandhinagar,450000,7,1
iOS App Developer,InstaWeb Labs Private Limited,Mumbai,500000,7,1
Junior PHP Developer,Ele Market Place Technologies,Thane,210000,7,0
Junior PHP Developer,Ele Market Place Technologies, Mumbai,210000,7,0
Robotics Trainer,Techyguide OPC Private Limited,Bikaner,225000,7,0
Robotics Trainer,Techyguide OPC Private Limited, Delhi,225000,7,0
Robotics Trainer,Techyguide OPC Private Limited, Dhanbad,225000,7,0
Robotics Trainer,Techyguide OPC Private Limited, Ranchi,225000,7,0
Robotics Trainer,Techyguide OPC Private Limited, Nagaur,225000,7,0
Robotics Trainer,Techyguide OPC Private Limited, Balasore,225000,7,0
Robotics Trainer,Techyguide OPC Private Limited, Jaipur,225000,7,0
Robotics Trainer,Techyguide OPC Private Limited, Lakhimpur Kheri,225000,7,0
Robotics Trainer,Techyguide OPC Private Limited, Bangalore,225000,7,0
Desktop Support L1,Visionyle Solutions Private Limited,Mumbai,260000,7,1
QA Engineer,App Analytics,Faridabad,330000,7,0
QA Engineer,App Analytics, Ghaziabad,330000,7,0
QA Engineer,App Analytics, Greater Noida,330000,7,0
QA Engineer,App Analytics, Gautam Buddha Nagar,330000,7,0
QA Engineer,App Analytics, Noida,330000,7,0
QA Engineer,App Analytics, Delhi,330000,7,0
Product Manager,Conceptmart,Delhi,250000,7,0
Product Manager,Conceptmart, Indore,250000,7,0
Product Manager,Conceptmart, Bhopal,250000,7,0
Web Developer,SR Edu Technologies,Hyderabad,300000,7,1
Associate Java Developer,Meghnad Saha,Work from home,480000,7,1
Senior MERN Stack Developer,Callease AI,Work from home,550000,7,1
Documentation Executive,AVM Healthcare Products Private Limited,Delhi,210000,7,0
Hosting Support Engineer (Full-Time),Thinking Minds Inc,Nashik,375000,7,1
Junior Software Developer,Concept.Study,Work from home,200000,7,1
IT Website Project Manager,DRAA (OPC) PRIVATE LIMITED,Delhi,450000,7,1
Next JS Developer,Infoware,Ahmedabad,450005,7,1
Next JS Developer,Infoware, Gandhinagar,450005,7,1
Junior Software Developer,MHK Tech Inc,Hyderabad,201000,7,0
Front End Developer,Stirring Minds,Delhi,250000,7,1
Senior PHP Developer,Indgiants Pvt Ltd,Hyderabad,281000,7,1
Junior Search Engine Optimization (SEO) Executive,Adnet India,Delhi,210000,7,0
Associate Software Developer,VIP AI,Pune,950000,7,1
Full Stack Developer,Prepai,Work from home,200000,7,1
